馬名,調教師,騎手,枠,馬,マイ印,α,β,Ω,Ω指数,血統,性齢,斤量,単勝,人気,馬体重,着順
アスクアバンシ,栗矢作芳,横山琉,3,5,…,…,…,…,51,ロードカナロアタニノアーバンシー(Sea The Stars),牡3,57.0,17.1,6,480(-4),2
イチリュウオ,美小西一,▲水沼元,1,1,…,…,…,…,63,バゴマールデルプラタ(ステイゴールド),牡4,57.0,76.7,11,456(-4),14
インヴァリアンス,美尾関知,金子光,2,2,…,…,…,…,81,ハーツクライタマユラ(Tamayuz),セ7,60.0,16.8,7,466(-20),11
ウアシュプルング,美鹿戸雄,津村明,7,14,…,★,○,▲,95,スクリーンヒーローアメリオラシオン(ルーラーシップ),牝3,55.0,2.6,1,452(-6),1
エスキモギャル,美杉浦宏,▲佐藤翔,4,8,…,…,…,…,52,エピファネイアエスキモーキセス(To Honor and Serve),牝3,52.0,160.3,14,512(-6),16
オルソビアンコ,美田村康,▲土田真,8,13,…,…,…,…,81,ハービンジャーセウアズール(ディープインパクト),牝5,53.0,152.6,12,398(+2),None
カフキック,美高橋文,武藤雅,7,12,…,★,△,注,88,マインドユアビスケジョンブドール(ステイゴールド),牡3,57.0,8.9,6,450(+4),2
ガネットウインク,美小西一,▲石田拓,3,3,…,…,…,…,82,エポカドーロモダンハート(ヴィクトワールピサ),牝3,50.0,6.2,3,474(-12),None
ガンバレベア,美千葉直,内田博,5,9,…,○,◎,◎,97,サトノアラジンサンマルリトリート(ハードスパン),牝3,55.0,4.7,2,478(+4),4
ギャランドゥ,美萩原清,荻野極,8,15,…,…,…,…,44,サトノダイヤモンドフェイズベロシティ(キングカメハメハ),牡3,57.0,45.7,9,454(---),6
グロワルスカイ,美加藤士,★谷原柚,2,2,…,…,☆,…,83,ゴールドドリームビップキャッツアイ(シンボリクリスエス),牡3,53.0,22.5,9,480(-4),6
コシュパンジャ,美勢司和,戸崎圭,4,6,…,…,注,☆,85,ゴールドドリームココクイーン(キングカメハメハ),牡3,57.0,11.1,7,494(+6),13
コスモアンソロジ,美嘉藤貴,津村明,8,14,…,○,◎,◎,98,ダノンバラードパーフェクトノート(Shamardal),牡3,55.0,4.1,2,446(+4),None
コスモキャバリエ,美高木登,杉原誠,1,1,…,★,★,☆,93,ダノンバラードマーマレードガール(タイキシャトル),牡3,55.0,35.8,9,470(+4),None
サウンドブライアン,栗加藤公,小野寺,3,3,…,☆,…,…,75,クリーンエコロジーブライアンオークス(ブライアンズタイム),牡7,60.0,40.9,10,490(+6),9
ジゲル,美田中博,原優介,7,12,…,△,△,△,95,ブリックスアンドモアルマンド(ディープインパクト),セ4,58.0,15.9,7,408(+2),None
スタエンブレム,美林徹,菅原明,2,3,…,△,○,▲,92,ロードカナロアリッスン(Sadler’s Wells),牡3,57.0,4.8,3,468(-14),1
スノリン,美西田雄,杉原誠,1,1,…,注,☆,☆,83,ノヴェリストレットイットスノー(ハーツクライ),牡3,57.0,78.2,11,468(+10),8
セファラジエル,栗高柳大,中村将,8,13,…,…,○,▲,91,キズナダークサファイア(Out of Place),牡7,60.0,4.2,2,536(+8),5
タヤスアメリカン,美岩戸孝,菊沢一,6,11,…,注,…,…,76,アメリカンペイトリライフアンドソウル(ノヴェリスト),牡3,57.0,62.4,11,494(+12),15
トアケルキラ,美辻哲英,▲石田拓,3,5,…,…,…,…,20,イスラボニータトーアシシイ(ボストンハーバー),セ3,54.0,83.5,12,490(---),11
トゥルサクセサ,美高木登,荻野極,4,5,…,注,…,…,91,モーリスブロンズテーラー(ロージズインメイ),牡4,58.0,9.3,4,468(0),None
ハイタイド,美牧光二,石橋脩,7,11,…,◎,☆,○,98,サトノダイヤモンドフォークレジェンド(Tapizar),牡3,55.0,13.7,6,460(+2),None
バッキンガムパレス,美辻哲英,大野拓,4,7,…,◎,△,△,95,タワーオブロンドンプリンセスケイト(ハードスパン),牝3,55.0,2.7,2,480(-10),9
バレアリックシ,美菊沢隆,▲石田拓,3,6,…,…,…,…,67,ナダルシースプレイ(ハーツクライ),セ3,54.0,171.9,15,464(+2),15
パワオブドリム,美上原佑,石川裕,7,13,…,▲,★,★,86,レッドベルジュールウォンビーロング(ストラヴィンスキー),セ3,57.0,8.0,4,448(0),3
ピコラ,美黒岩陽,木幡巧,6,12,…,…,★,…,83,レイデオロアオイスカーレット(ディープインパクト),牝3,55.0,19.2,8,430(-4),5
ファベル,栗小林真,小牧加,3,4,…,◎,◎,◎,99,ディープインパクトポウリナズラヴ(Mizzen Mast),牡6,60.0,7.2,5,444(+6),7
